modelo,split,MAE,RMSE,RMSLE,MAPE,WAPE,R2
BASELINE naive_estacional(t-7),valid,68.15532166586078,266.22472139313396,0.5102587896744907,44.246247487063,14.147063133762822,0.9597507474410656
BASELINE naive_estacional(t-7),test,100.23036447976843,350.0605138075077,0.5693670635778206,49.49865492693751,21.45603707819916,0.9213677374213056
BASELINE media_movil_7,valid,103.74431014287109,373.73086038090304,0.4486488366980694,42.74484247410666,21.534302377081023,0.9206806806647396
BASELINE media_movil_7,test,90.83953483864552,297.30631495154694,0.44893710601982617,44.03907178635981,19.44576813404446,0.9432817544540347
Ridge,valid,819.7459310037891,7474.001126372012,0.7143824923080176,78.71417522419424,170.1554208255576,-30.72249775324032
Ridge,test,743.716719268084,6762.273063781836,0.7231464849434579,78.69651985189485,159.2053823920158,-28.342690183129463
RandomForest,valid,55.4947541091567,209.65069114482245,0.38387989160390756,31.432288299273054,11.519097420211232,0.9750394785305821
RandomForest,test,76.37997857572553,305.818881171725,0.4110891597781456,34.49913885770625,16.350450892390196,0.9399873076767572
HistGradientBoosting,valid,59.63589735113962,222.93952028208415,0.37895654755490704,31.082370070341213,12.378678351800215,0.9717749199745066
HistGradientBoosting,test,67.50106524744217,236.53334642645822,0.38668237817518614,33.318985901377935,14.44976645834109,0.9640996012133701
LightGBM,valid,58.84771166231683,213.19947626550422,0.3800718092701447,31.062437395611347,12.215073919624384,0.9741873065160395
LightGBM,test,66.23478970658488,234.32757364898288,0.38587523142318225,32.97425183999553,14.178698353412319,0.9647660517776444
XGBoost,valid,55.001613837552945,207.78999885547205,0.3764551633648285,30.783829398071955,11.41673583808295,0.9754805717633604
XGBoost,test,61.0459836038577,216.0667360221287,0.38430392406988423,32.49305858849685,13.067944973340829,0.9700435501771558
LightGBM_Tweedie,valid,54.68059021390541,198.0012838425644,0.3856031191429058,32.35272425710596,11.350100667707903,0.9777363139163088
LightGBM_Tweedie,test,57.956267629802205,197.0907111481737,0.38937387469412377,33.31138379657154,12.40653801503509,0.9750743304217181
LightGBM_Poisson,valid,57.18394678888438,209.51026080339074,0.39458733493511866,34.29643607590954,11.869724706549277,0.9750729059481981
LightGBM_Poisson,test,61.76907701102307,214.65458063753022,0.4009481004614209,35.92320940492474,13.222735580315756,0.9704338455231629
XGBoost_Tweedie,valid,55.56753500938818,208.69869551805635,0.38330786525635224,32.67965263401385,11.534204618964614,0.9752656486083292
XGBoost_Tweedie,test,58.04682128680174,211.73677632377778,0.38657901796280475,33.40476475180433,12.425922586090312,0.9712321693205206
Ridge,cv_fold_1,777.61217449558,7266.276688357119,0.718636530356888,78.79893540786955,166.2919942322161,-31.313411581854695
RandomForest,cv_fold_1,55.484465462398745,206.21601402316227,0.3879370828135261,31.533782137300236,11.865326589872277,0.9739742216792265
HistGradientBoosting,cv_fold_1,59.37208123512085,228.53002078475816,0.3818182096804855,31.11962532471189,12.696691376661956,0.9680371520799907
LightGBM,cv_fold_1,57.15377266136691,210.2122154948538,0.38165319560250144,31.042978068039545,12.222307141626985,0.9729557557899807
XGBoost,cv_fold_1,55.68399137447807,204.08229423266684,0.38482210975637005,31.599134027389308,11.907995111416703,0.9745100134781387
LightGBM_Tweedie,cv_fold_1,57.0203717154912,197.54195467983956,0.3963406272258026,32.93320305756867,12.193779412702826,0.9761176178277624
LightGBM_Poisson,cv_fold_1,58.837561462462716,225.22629630653407,0.39857229081262874,34.020303924364946,12.58238457711946,0.9689546085243074
XGBoost_Tweedie,cv_fold_1,55.972818024857695,209.9900988630968,0.39010978430048976,33.525165249936194,11.969760553438228,0.9730128771408123
Ridge,cv_fold_2,944.5241829565315,8187.103109829655,0.7178384434854578,84.23346568038508,197.0964163754265,-37.72354457742468
RandomForest,cv_fold_2,52.9441313817981,217.4788785503642,0.3765119628513,31.10484542919634,11.047995119403314,0.9726757183344784
HistGradientBoosting,cv_fold_2,55.85206560866969,233.919702799838,0.37053373982269533,30.75074103801232,11.654801621040779,0.9683882753231982
LightGBM,cv_fold_2,54.03198048022247,225.1043845567951,0.3706516798852812,30.06472537015964,11.274999533610622,0.9707259714379008
XGBoost,cv_fold_2,51.37245841108649,214.26096166815628,0.37721923616356784,31.01380380072982,10.720029868930068,0.9734783412083073
LightGBM_Tweedie,cv_fold_2,50.39496675757677,205.39863116179822,0.384153527862603,33.73305607530811,10.516054041291016,0.9756269615401204
LightGBM_Poisson,cv_fold_2,52.17381639002565,217.8497780566013,0.39374023790788093,35.25550896997601,10.887251406221326,0.9725824384293762
XGBoost_Tweedie,cv_fold_2,74.64111446390315,301.2683601325038,0.38758186664233324,33.1688769699167,15.575563273619613,0.9475649567213125
Ridge,cv_fold_3,748.8731260746293,6953.853021361739,0.7295468174034405,83.84186390301838,157.2910656000291,-25.999908650375847
RandomForest,cv_fold_3,76.41104714011938,358.47885620213094,0.4018745125259164,33.11316096699991,16.049147191704265,0.928247279648772
HistGradientBoosting,cv_fold_3,60.956482051285136,263.88426468029337,0.3803898786236896,31.853141656659368,12.80311668724536,0.9611189245492954
LightGBM,cv_fold_3,60.35382718990582,256.82171792961475,0.37894597398638025,31.585484998947276,12.676536867466995,0.9631722849569272
XGBoost,cv_fold_3,58.2518226362141,287.464383489295,0.38328428853537483,31.55125608079345,12.235038134725267,0.9538598111022573
LightGBM_Tweedie,cv_fold_3,52.37441878796815,213.86888696866797,0.392456213967789,34.779738637122925,11.000565856225865,0.974460846454787
LightGBM_Poisson,cv_fold_3,54.864570019268655,226.20230870445343,0.4062878024124674,36.7928718816453,11.523589753116841,0.9714303219072352
XGBoost_Tweedie,cv_fold_3,58.811724147763755,258.59396753391985,0.38783549713551396,34.22323234603565,12.352638169118723,0.9626622572143521
Ensemble(XGBoost+XGBoost_Tweedie+LightGBM+LightGBM_Poisson),test_recursivo,68.15094282050313,235.73067866852097,0.42270904600495873,34.062749616430274,14.588883954084617,0.9643428413300745
BASELINE naive_estacional(t-7),test_recursivo,96.53539104383401,348.38174654466945,0.6170404161336513,49.97502173360991,20.665064328016534,0.9221201144394297
BASELINE media_movil_7,test_recursivo,108.66191004602008,359.8237073320883,0.5311130728137563,50.974480235811605,23.260954731995955,0.9169204628683173
