date,sales_total,dcoilwtico,year
2016-02-02,765233.2,29.9,2016
2016-02-03,772360.94,32.29,2016
2016-02-04,650328.2,31.63,2016
2016-02-05,768586.5,30.86,2016
2016-02-06,941954.06,30.86,2016
2016-02-07,697791.6,30.86,2016
2016-02-08,636542.7,29.71,2016
2016-02-09,746939.6,27.96,2016
2016-02-10,790988.7,27.54,2016
2016-02-11,646376.4,26.19,2016
2016-02-12,698152.06,29.32,2016
2016-02-13,859023.0,29.32,2016
2016-02-14,940214.5,29.32,2016
2016-02-15,746671.3,29.32,2016
2016-02-16,719111.9,29.05,2016
2016-02-17,723794.75,30.68,2016
2016-02-18,570072.7,30.77,2016
2016-02-19,672510.1,29.59,2016
2016-02-20,883790.2,29.59,2016
2016-02-21,991384.25,29.59,2016
2016-02-22,698907.6,31.37,2016
2016-02-23,641329.06,31.84,2016
2016-02-24,675573.4,30.35,2016
2016-02-25,557959.3,31.4,2016
2016-02-26,641922.8,31.65,2016
2016-02-27,916704.06,31.65,2016
2016-02-28,994502.75,31.65,2016
2016-02-29,726619.75,32.74,2016
2016-03-01,897927.6,34.39,2016
2016-03-02,878452.4,34.57,2016
2016-03-03,671564.75,34.56,2016
2016-03-04,747546.8,35.91,2016
2016-03-05,1.0286207e+06,35.91,2016
2016-03-06,1.0789585e+06,35.91,2016
2016-03-07,738126.5,37.9,2016
2016-03-08,642291.4,36.67,2016
2016-03-09,694645.9,37.62,2016
2016-03-10,572491.9,37.77,2016
2016-03-11,664893.5,38.51,2016
2016-03-12,898101.1,38.51,2016
2016-03-13,954980.3,38.51,2016
2016-03-14,668066.4,37.2,2016
2016-03-15,668186.7,36.32,2016
2016-03-16,739805.4,38.43,2016
2016-03-17,580452.5,40.17,2016
2016-03-18,666756.8,39.47,2016
2016-03-19,895038.5,39.47,2016
2016-03-20,929605.56,39.47,2016
2016-03-21,690469.8,39.91,2016
2016-03-22,622695.8,41.45,2016
2016-03-23,714881.2,38.28,2016
2016-03-24,660489.9,38.14,2016
2016-03-25,633524.2,38.14,2016
2016-03-26,800133.5,38.14,2016
2016-03-27,833336.06,38.14,2016
2016-03-28,661057.9,37.99,2016
2016-03-29,621166.06,36.91,2016
2016-03-30,660139.0,36.91,2016
2016-03-31,617374.3,36.94,2016
2016-04-01,872467.3,35.36,2016
2016-04-02,1.1508246e+06,35.36,2016
2016-04-03,1.2669082e+06,35.36,2016
2016-04-04,795237.2,34.3,2016
2016-04-05,725750.1,34.52,2016
2016-04-06,744784.8,37.74,2016
2016-04-07,587939.7,37.3,2016
2016-04-08,689727.2,39.74,2016
2016-04-09,927981.4,39.74,2016
2016-04-10,1.00887675e+06,39.74,2016
2016-04-11,665348.94,40.46,2016
2016-04-12,651657.06,42.12,2016
2016-04-13,672611.5,41.7,2016
2016-04-14,546785.2,41.45,2016
2016-04-15,667606.3,40.4,2016
2016-04-16,862121.5,40.4,2016
2016-04-17,1.2718338e+06,40.4,2016
2016-04-18,1.3459206e+06,39.74,2016
2016-04-19,1.1520892e+06,40.88,2016
2016-04-20,1.0624262e+06,42.72,2016
2016-04-21,1.00107975e+06,43.18,2016
2016-04-22,857059.25,42.76,2016
2016-04-23,1.0221431e+06,42.76,2016
2016-04-24,1.03936994e+06,42.76,2016
2016-04-25,680000.75,41.67,2016
2016-04-26,704799.44,42.52,2016
2016-04-27,670288.1,45.29,2016
2016-04-28,543339.9,46.03,2016
2016-04-29,708711.44,45.98,2016
2016-04-30,1.0673358e+06,45.98,2016
2016-05-01,1.2701212e+06,45.98,2016
2016-05-02,973985.7,44.75,2016
2016-05-03,792205.56,43.65,2016
2016-05-04,798654.44,43.77,2016
2016-05-05,648701.6,44.33,2016
2016-05-06,761422.5,44.58,2016
2016-05-07,1.0711928e+06,44.58,2016
2016-05-08,820824.6,44.58,2016
2016-05-09,771767.6,43.45,2016
2016-05-10,693010.5,44.68,2016
2016-05-11,727543.44,46.21,2016
2016-05-12,603394.2,46.64,2016
2016-05-13,666833.9,46.22,2016
2016-05-14,932869.5,46.22,2016
2016-05-15,1.0703316e+06,46.22,2016
2016-05-16,748112.7,47.72,2016
2016-05-17,661930.8,48.29,2016
2016-05-18,671232.94,48.12,2016
2016-05-19,581470.56,48.16,2016
2016-05-20,706024.06,47.67,2016
2016-05-21,910757.2,47.67,2016
2016-05-22,1.0306716e+06,47.67,2016
2016-05-23,695004.7,48.12,2016
2016-05-24,606377.2,48.04,2016
2016-05-25,637512.06,49.1,2016
2016-05-26,571968.6,49.0,2016
2016-05-27,852689.25,49.36,2016
2016-05-28,816187.25,49.36,2016
2016-05-29,959853.7,49.36,2016
2016-05-30,752452.44,49.36,2016
2016-05-31,974328.0,49.1,2016
2016-06-01,811525.3,49.07,2016
2016-06-02,694535.94,49.14,2016
2016-06-03,742363.06,48.69,2016
2016-06-04,1.0119966e+06,48.69,2016
2016-06-05,1.1237344e+06,48.69,2016
2016-06-06,729894.25,49.71,2016
2016-06-07,658714.6,50.37,2016
2016-06-08,696747.56,51.23,2016
2016-06-09,547139.6,50.52,2016
2016-06-10,637354.3,49.09,2016
2016-06-11,845838.2,49.09,2016
2016-06-12,947479.75,49.09,2016
2016-06-13,685382.2,48.89,2016
2016-06-14,622267.75,48.49,2016
2016-06-15,708327.6,47.92,2016
2016-06-16,620526.25,46.14,2016
2016-06-17,737897.44,48.0,2016
2016-06-18,972971.1,48.0,2016
2016-06-19,837363.0,48.0,2016
2016-06-20,735754.4,49.4,2016
2016-06-21,679248.0,48.95,2016
2016-06-22,677730.6,49.16,2016
2016-06-23,559653.3,49.34,2016
2016-06-24,641812.7,46.7,2016
2016-06-25,860296.8,46.7,2016
2016-06-26,954344.7,46.7,2016
2016-06-27,684735.6,45.8,2016
2016-06-28,596948.94,47.93,2016
2016-06-29,632489.5,49.85,2016
2016-06-30,554144.9,48.27,2016
2016-07-01,857027.56,49.02,2016
2016-07-02,1.0784851e+06,49.02,2016
2016-07-03,1.1267138e+06,49.02,2016
2016-07-04,850891.6,49.02,2016
2016-07-05,728011.56,46.73,2016
2016-07-06,752110.94,47.37,2016
2016-07-07,591702.75,45.22,2016
2016-07-08,688563.4,45.37,2016
2016-07-09,868260.0,45.37,2016
2016-07-10,932486.3,45.37,2016
2016-07-11,688436.1,44.73,2016
2016-07-12,627039.75,46.82,2016
2016-07-13,642494.4,44.87,2016
2016-07-14,535124.3,45.64,2016
2016-07-15,675032.44,45.93,2016
2016-07-16,887192.9,45.93,2016
2016-07-17,932586.7,45.93,2016
2016-07-18,702619.75,45.23,2016
2016-07-19,633176.3,44.64,2016
2016-07-20,686848.9,44.96,2016
2016-07-21,578823.7,43.96,2016
2016-07-22,646633.6,43.41,2016
2016-07-23,822292.5,43.41,2016
2016-07-24,847867.7,43.41,2016
2016-07-25,697383.6,42.4,2016
2016-07-26,622771.94,42.16,2016
2016-07-27,651122.0,41.9,2016
2016-07-28,533256.25,41.13,2016
2016-07-29,669585.8,41.54,2016
2016-07-30,910213.9,41.54,2016
2016-07-31,997916.94,41.54,2016
2016-08-01,895580.4,40.05,2016
2016-08-02,777592.8,39.5,2016
2016-08-03,779844.8,40.8,2016
2016-08-04,622883.1,41.92,2016
2016-08-05,704092.75,41.83,2016
2016-08-06,858903.2,41.83,2016
2016-08-07,904321.44,41.83,2016
2016-08-08,715195.56,43.06,2016
2016-08-09,635539.0,42.78,2016
2016-08-10,658457.44,41.75,2016
2016-08-11,596729.25,43.51,2016
2016-08-12,745662.5,44.47,2016
2016-08-13,714905.94,44.47,2016
2016-08-14,761826.1,44.47,2016
2016-08-15,720032.3,45.72,2016
2016-08-16,718671.6,46.57,2016
2016-08-17,725945.7,46.81,2016
2016-08-18,577350.5,48.2,2016
2016-08-19,678767.1,48.48,2016
2016-08-20,828986.3,48.48,2016
2016-08-21,901870.1,48.48,2016
2016-08-22,714866.25,46.8,2016
2016-08-23,660820.0,47.54,2016
2016-08-24,674613.06,46.29,2016
2016-08-25,554421.5,46.97,2016
2016-08-26,646698.25,47.64,2016
2016-08-27,791047.56,47.64,2016
2016-08-28,858802.44,47.64,2016
2016-08-29,671845.75,46.97,2016
2016-08-30,624711.3,46.32,2016
2016-08-31,731430.1,44.68,2016
2016-09-01,718105.56,43.17,2016
2016-09-02,837129.56,44.39,2016
2016-09-03,1.0575812e+06,44.39,2016
2016-09-04,1.1099859e+06,44.39,2016
2016-09-05,813763.3,44.39,2016
2016-09-06,751583.0,44.85,2016
2016-09-07,738543.94,45.47,2016
2016-09-08,595849.3,47.63,2016
2016-09-09,658969.0,45.88,2016
2016-09-10,915938.56,45.88,2016
2016-09-11,1.01736925e+06,45.88,2016
2016-09-12,678776.44,46.28,2016
2016-09-13,603427.94,44.91,2016
2016-09-14,624262.06,43.62,2016
2016-09-15,568324.8,43.85,2016
2016-09-16,691912.6,43.04,2016
2016-09-17,899219.3,43.04,2016
2016-09-18,1.0186627e+06,43.04,2016
2016-09-19,681159.3,43.34,2016
2016-09-20,650980.3,43.85,2016
2016-09-21,666928.4,45.33,2016
2016-09-22,533276.3,46.1,2016
2016-09-23,663686.0,44.36,2016
2016-09-24,861830.4,44.36,2016
2016-09-25,952352.56,44.36,2016
2016-09-26,664217.44,45.6,2016
2016-09-27,587908.3,44.65,2016
2016-09-28,631761.2,47.07,2016
2016-09-29,520744.94,47.72,2016
2016-09-30,703198.5,47.72,2016
2016-10-01,1.1750336e+06,47.72,2016
2016-10-02,1.2564801e+06,47.72,2016
2016-10-03,833060.56,48.8,2016
2016-10-04,724113.1,48.67,2016
2016-10-05,749712.3,49.75,2016
2016-10-06,581429.3,50.44,2016
2016-10-07,797612.25,49.76,2016
2016-10-08,932551.7,49.76,2016
2016-10-09,1.0882515e+06,49.76,2016
2016-10-10,725312.9,49.76,2016
2016-10-11,625272.0,50.72,2016
2016-10-12,665126.06,50.14,2016
2016-10-13,558859.9,50.47,2016
2016-10-14,667954.2,50.35,2016
2016-10-15,890613.56,50.35,2016
2016-10-16,1.1045048e+06,50.35,2016
2016-10-17,710456.44,49.97,2016
2016-10-18,630638.56,50.3,2016
2016-10-19,647823.44,51.59,2016
2016-10-20,583001.25,50.31,2016
2016-10-21,669453.56,50.61,2016
2016-10-22,843626.44,50.61,2016
2016-10-23,1.0229537e+06,50.61,2016
2016-10-24,668507.6,50.18,2016
2016-10-25,610590.9,49.45,2016
2016-10-26,633413.9,48.75,2016
2016-10-27,544361.5,49.71,2016
2016-10-28,638838.25,48.72,2016
2016-10-29,841074.7,48.72,2016
2016-10-30,954838.2,48.72,2016
2016-10-31,654923.5,46.83,2016
2016-11-01,811832.44,46.66,2016
2016-11-02,969033.6,45.32,2016
2016-11-03,793811.7,44.66,2016
2016-11-04,858468.2,44.07,2016
2016-11-05,887751.3,44.07,2016
2016-11-06,1.1403671e+06,44.07,2016
2016-11-07,849451.06,44.88,2016
2016-11-08,767439.6,44.96,2016
2016-11-09,790276.8,45.2,2016
2016-11-10,588241.75,44.62,2016
2016-11-11,713396.44,43.39,2016
2016-11-12,929802.75,43.39,2016
2016-11-13,1.1889822e+06,43.39,2016
2016-11-14,735723.2,43.29,2016
2016-11-15,691801.6,45.86,2016
2016-11-16,830431.75,45.56,2016
2016-11-17,615228.25,45.37,2016
2016-11-18,738265.56,45.69,2016
2016-11-19,935656.0,45.69,2016
2016-11-20,1.125179e+06,45.69,2016
2016-11-21,773762.3,47.48,2016
2016-11-22,690281.25,48.07,2016
2016-11-23,753685.06,46.72,2016
2016-11-24,595457.3,46.72,2016
2016-11-25,737819.5,46.72,2016
2016-11-26,908066.8,46.72,2016
2016-11-27,1.0567216e+06,46.72,2016
2016-11-28,752583.75,45.66,2016
2016-11-29,645760.5,45.29,2016
2016-11-30,767361.7,49.41,2016
2016-12-01,843603.3,51.08,2016
2016-12-02,853454.94,51.7,2016
2016-12-03,1.1134406e+06,51.7,2016
2016-12-04,1.276195e+06,51.7,2016
2016-12-05,896824.94,51.72,2016
2016-12-06,932546.4,50.95,2016
2016-12-07,867653.75,49.85,2016
2016-12-08,674077.4,50.84,2016
2016-12-09,774941.94,51.51,2016
2016-12-10,920050.75,51.51,2016
2016-12-11,1.1193242e+06,51.51,2016
2016-12-12,844251.7,52.74,2016
2016-12-13,747161.6,52.99,2016
2016-12-14,829763.25,51.01,2016
2016-12-15,747641.2,50.9,2016
2016-12-16,918899.8,51.93,2016
2016-12-17,1.0716556e+06,51.93,2016
2016-12-18,1.2604719e+06,51.93,2016
2016-12-19,1.0282428e+06,52.13,2016
2016-12-20,1.0804024e+06,52.22,2016
2016-12-21,1.1813074e+06,51.44,2016
2016-12-22,1.1358494e+06,51.98,2016
2016-12-23,1.2821455e+06,52.01,2016
2016-12-24,1.2468379e+06,52.01,2016
2016-12-26,1.03277075e+06,52.01,2016
2016-12-27,842475.5,52.82,2016
2016-12-28,951533.7,54.01,2016
2016-12-29,894108.25,53.8,2016
2016-12-30,1.163643e+06,53.75,2016
2016-12-31,1.1090129e+06,53.75,2016
2017-01-01,12082.501,53.75,2017
2017-01-02,1.4023064e+06,53.75,2017
2017-01-03,1.1043771e+06,52.36,2017
2017-01-04,990093.44,53.26,2017
2017-01-05,777620.94,53.77,2017
2017-01-06,839600.25,53.98,2017
2017-01-07,1.1038062e+06,53.98,2017
2017-01-08,1.1925438e+06,53.98,2017
2017-01-09,793724.9,51.95,2017
2017-01-10,742635.56,50.82,2017
2017-01-11,770742.7,52.19,2017
2017-01-12,629635.8,53.01,2017
2017-01-13,768898.94,52.36,2017
2017-01-14,1.02105056e+06,52.36,2017
2017-01-15,1.1757251e+06,52.36,2017
2017-01-16,824488.7,52.36,2017
2017-01-17,750836.56,52.45,2017
2017-01-18,782656.0,51.12,2017
2017-01-19,606949.75,51.39,2017
2017-01-20,725703.7,52.33,2017
2017-01-21,1.0727218e+06,52.33,2017
2017-01-22,1.1482144e+06,52.33,2017
2017-01-23,798133.6,52.77,2017
2017-01-24,721275.75,52.38,2017
2017-01-25,744342.56,52.14,2017
2017-01-26,576515.56,53.24,2017
2017-01-27,722113.94,53.18,2017
2017-01-28,977850.4,53.18,2017
2017-01-29,1.075167e+06,53.18,2017
2017-01-30,698123.75,52.63,2017
2017-01-31,778222.3,52.75,2017
2017-02-01,961777.4,53.9,2017
2017-02-02,748882.75,53.55,2017
2017-02-03,834667.1,53.81,2017
2017-02-04,1.1327885e+06,53.81,2017
2017-02-05,1.1519876e+06,53.81,2017
2017-02-06,786672.4,53.01,2017
2017-02-07,739431.2,52.19,2017
2017-02-08,783605.4,52.37,2017
2017-02-09,624387.5,52.99,2017
2017-02-10,752207.25,53.84,2017
2017-02-11,944924.6,53.84,2017
2017-02-12,1.0748209e+06,53.84,2017
2017-02-13,794314.44,52.96,2017
2017-02-14,642613.2,53.21,2017
2017-02-15,745780.4,53.11,2017
2017-02-16,645968.25,53.41,2017
2017-02-17,758855.7,53.41,2017
2017-02-18,1.0633949e+06,53.41,2017
2017-02-19,858897.1,53.41,2017
2017-02-20,759120.06,53.41,2017
2017-02-21,717807.7,54.02,2017
2017-02-22,739388.06,53.61,2017
2017-02-23,675578.5,54.48,2017
2017-02-24,816197.5,53.99,2017
2017-02-25,1.02601125e+06,53.99,2017
2017-02-26,775709.0,53.99,2017
2017-02-27,744956.94,54.04,2017
2017-02-28,949366.8,54.0,2017
2017-03-01,1.0085217e+06,53.82,2017
2017-03-02,836225.2,52.63,2017
2017-03-03,882639.75,53.33,2017
2017-03-04,1.1257364e+06,53.33,2017
2017-03-05,1.1969838e+06,53.33,2017
2017-03-06,790143.25,53.19,2017
2017-03-07,761866.75,52.68,2017
2017-03-08,781046.7,49.83,2017
2017-03-09,653901.2,48.75,2017
2017-03-10,773855.3,48.05,2017
2017-03-11,1.00117444e+06,48.05,2017
2017-03-12,1.1460069e+06,48.05,2017
2017-03-13,754390.4,47.95,2017
2017-03-14,700998.06,47.24,2017
2017-03-15,815621.9,48.34,2017
2017-03-16,699108.2,48.3,2017
2017-03-17,812306.75,48.34,2017
2017-03-18,1.03890656e+06,48.34,2017
2017-03-19,1.1571406e+06,48.34,2017
2017-03-20,826428.94,47.79,2017
2017-03-21,746620.94,47.02,2017
2017-03-22,767880.8,47.29,2017
2017-03-23,670848.0,47.0,2017
2017-03-24,787914.1,47.3,2017
2017-03-25,1.0381393e+06,47.3,2017
2017-03-26,1.1015575e+06,47.3,2017
2017-03-27,784103.25,47.02,2017
2017-03-28,702943.94,48.36,2017
2017-03-29,824633.0,49.47,2017
2017-03-30,637624.3,50.3,2017
2017-03-31,878750.06,50.54,2017
2017-04-01,1.463084e+06,50.54,2017
2017-04-02,1.13865e+06,50.54,2017
2017-04-03,835191.6,50.25,2017
2017-04-04,835602.6,50.99,2017
2017-04-05,846631.3,51.14,2017
2017-04-06,683059.56,51.69,2017
2017-04-07,765502.2,52.25,2017
2017-04-08,988591.5,52.25,2017
2017-04-09,1.1017136e+06,52.25,2017
2017-04-10,739392.1,53.06,2017
2017-04-11,741331.44,53.38,2017
2017-04-12,791762.3,53.12,2017
2017-04-13,737029.56,53.19,2017
2017-04-14,740889.5,53.19,2017
2017-04-15,898610.2,53.19,2017
2017-04-16,985493.8,53.19,2017
2017-04-17,775916.9,52.62,2017
2017-04-18,717196.3,52.46,2017
2017-04-19,735733.2,50.49,2017
2017-04-20,675804.0,50.26,2017
2017-04-21,795795.9,49.64,2017
2017-04-22,974952.8,49.64,2017
2017-04-23,1.1400702e+06,49.64,2017
2017-04-24,755072.56,48.9,2017
2017-04-25,718996.06,49.22,2017
2017-04-26,781159.3,49.22,2017
2017-04-27,624910.0,48.96,2017
2017-04-28,797636.6,49.31,2017
2017-04-29,1.0682799e+06,49.31,2017
2017-04-30,1.04124925e+06,49.31,2017
2017-05-01,1.3066994e+06,48.83,2017
2017-05-02,907324.1,47.65,2017
2017-05-03,924247.25,47.79,2017
2017-05-04,716654.6,45.55,2017
2017-05-05,780798.4,46.23,2017
2017-05-06,1.0394179e+06,46.23,2017
2017-05-07,1.2273806e+06,46.23,2017
2017-05-08,776307.5,46.46,2017
2017-05-09,715811.2,45.84,2017
2017-05-10,766101.9,47.28,2017
2017-05-11,648650.44,47.81,2017
2017-05-12,764812.44,47.83,2017
2017-05-13,1.1169769e+06,47.83,2017
2017-05-14,884199.94,47.83,2017
2017-05-15,823035.56,48.86,2017
2017-05-16,807803.9,48.64,2017
2017-05-17,841407.6,49.04,2017
2017-05-18,628488.0,49.36,2017
2017-05-19,773775.44,50.32,2017
2017-05-20,1.0356674e+06,50.32,2017
2017-05-21,1.2019389e+06,50.32,2017
2017-05-22,778935.1,50.81,2017
2017-05-23,723151.75,51.12,2017
2017-05-24,746303.6,50.99,2017
2017-05-25,620108.25,48.57,2017
2017-05-26,984511.1,49.58,2017
2017-05-27,932219.9,49.58,2017
2017-05-28,1.0617716e+06,49.58,2017
2017-05-29,776813.1,49.58,2017
2017-05-30,742471.25,49.63,2017
2017-05-31,858062.1,48.29,2017
2017-06-01,766859.2,48.32,2017
2017-06-02,918421.3,47.68,2017
2017-06-03,1.1761381e+06,47.68,2017
2017-06-04,1.3765115e+06,47.68,2017
2017-06-05,912693.9,47.4,2017
2017-06-06,805546.6,48.13,2017
2017-06-07,842979.8,45.8,2017
2017-06-08,667099.8,45.68,2017
2017-06-09,795116.1,45.82,2017
2017-06-10,993732.7,45.82,2017
2017-06-11,1.213674e+06,45.82,2017
2017-06-12,768349.75,46.1,2017
2017-06-13,729412.94,46.41,2017
2017-06-14,785885.94,44.79,2017
2017-06-15,660338.4,44.47,2017
2017-06-16,834786.44,44.73,2017
2017-06-17,1.0961335e+06,44.73,2017
2017-06-18,965144.1,44.73,2017
2017-06-19,791146.4,44.24,2017
2017-06-20,787326.7,43.34,2017
2017-06-21,766159.0,42.48,2017
2017-06-22,609868.8,42.53,2017
2017-06-23,761049.75,42.86,2017
2017-06-24,963268.25,42.86,2017
2017-06-25,1.0926109e+06,42.86,2017
2017-06-26,755367.8,43.24,2017
2017-06-27,682218.44,44.25,2017
2017-06-28,731897.0,44.74,2017
2017-06-29,630811.8,44.88,2017
2017-06-30,802273.1,46.02,2017
2017-07-01,1.2075299e+06,46.02,2017
2017-07-02,1.2963792e+06,46.02,2017
2017-07-03,925143.4,46.02,2017
2017-07-04,832359.3,46.02,2017
2017-07-05,844301.6,45.11,2017
2017-07-06,700272.0,45.52,2017
2017-07-07,805792.3,44.25,2017
2017-07-08,998347.2,44.25,2017
2017-07-09,1.1008334e+06,44.25,2017
2017-07-10,804158.9,44.4,2017
2017-07-11,730534.75,45.06,2017
2017-07-12,748800.0,45.48,2017
2017-07-13,629651.4,46.06,2017
2017-07-14,765489.6,46.53,2017
2017-07-15,969077.1,46.53,2017
2017-07-16,1.1008038e+06,46.53,2017
2017-07-17,818325.5,46.02,2017
2017-07-18,730133.7,46.4,2017
2017-07-19,767978.75,47.1,2017
2017-07-20,688288.06,46.73,2017
2017-07-21,782418.3,45.78,2017
2017-07-22,932902.06,45.78,2017
2017-07-23,1.02428875e+06,45.78,2017
2017-07-24,816564.3,46.21,2017
2017-07-25,713581.6,47.77,2017
2017-07-26,740653.06,48.58,2017
2017-07-27,659849.8,49.05,2017
2017-07-28,835099.7,49.72,2017
2017-07-29,1.0323109e+06,49.72,2017
2017-07-30,1.1237525e+06,49.72,2017
2017-07-31,885856.8,50.21,2017
2017-08-01,988527.75,49.19,2017
2017-08-02,964712.0,49.6,2017
2017-08-03,728068.5,49.03,2017
2017-08-04,827775.7,49.57,2017
2017-08-05,965693.6,49.57,2017
2017-08-06,1.0495591e+06,49.57,2017
2017-08-07,797464.94,49.37,2017
2017-08-08,717766.4,49.07,2017
2017-08-09,734139.7,49.59,2017
2017-08-10,651386.94,48.54,2017
2017-08-11,826373.75,48.81,2017
2017-08-12,792630.56,48.81,2017
2017-08-13,865639.7,48.81,2017
2017-08-14,760922.44,47.59,2017
2017-08-15,762661.94,47.57,2017
